epoch num,accuracy
0.0,0.42857142857142855
1.0,0.6571428571428571
2.0,0.6952380952380952
3.0,0.7238095238095238
4.0,0.7523809523809524
5.0,0.780952380952381
6.0,0.8095238095238095
7.0,0.8380952380952381
8.0,0.8952380952380953
9.0,0.9238095238095239
10.0,0.9333333333333333
11.0,0.9333333333333333
12.0,0.9619047619047619
13.0,0.9619047619047619
14.0,0.9714285714285714
15.0,0.9714285714285714
16.0,0.9619047619047619
17.0,0.9619047619047619
18.0,0.9714285714285714
19.0,0.9809523809523809
20.0,0.9809523809523809
21.0,0.9809523809523809
22.0,0.9809523809523809
23.0,0.9809523809523809
24.0,0.9809523809523809
25.0,0.9809523809523809
26.0,0.9809523809523809
27.0,0.9809523809523809
28.0,0.9809523809523809
29.0,0.9809523809523809
30.0,0.9809523809523809
31.0,0.9809523809523809
32.0,0.9809523809523809
33.0,0.9809523809523809
34.0,0.9809523809523809
35.0,0.9809523809523809
36.0,0.9809523809523809
37.0,0.9809523809523809
38.0,0.9809523809523809
39.0,0.9809523809523809
40.0,0.9809523809523809
41.0,0.9809523809523809
42.0,0.9809523809523809
43.0,0.9809523809523809
44.0,0.9809523809523809
45.0,0.9809523809523809
46.0,0.9809523809523809
47.0,0.9809523809523809
48.0,0.9809523809523809
49.0,0.9809523809523809
